Primary Sponsor,Agreement Type,On Off Campus Status,No Accts,Graduate Students,Other Salaries,Employee Benefits,Operating Expenses,Indirect Expenses,FYTD Amount
005164 Ferrari S.p.A.,Total by Primary Sponsor,,21,-609,"11,952","3,920","3,714","10,587","29,563"
005173 Arizona State University,Contracts,On Campus,11,0,0,0,"-2,998",0,"-2,998"
005173 Arizona State University,Total by Primary Sponsor,,11,0,0,0,"-2,998",0,"-2,998"
005179 Arthur Vining Davis Foundation,Grants,On Campus,1,,,,,,0
005179 Arthur Vining Davis Foundation,Total by Primary Sponsor,,1,,,,,,0
"005214 Shell International Exploration & Production, Inc.",Contracts,On Campus,335,"643,763","1,279,724","435,352","2,148,467","1,403,531","5,910,837"
"005214 Shell International Exploration & Production, Inc.",Total by Primary Sponsor,,335,"643,763","1,279,724","435,352","2,148,467","1,403,531","5,910,837"
005250 Battelle Memorial Institute,Contracts,On Campus,100,"19,064","295,031","105,822","126,596","234,138","780,652"
005250 Battelle Memorial Institute,Total by Primary Sponsor,,100,"19,064","295,031","105,822","126,596","234,138","780,652"
005260 Beth Israel Deaconess Medical Cent,Grants,On Campus,5,,0,0,585,563,"1,148"
005260 Beth Israel Deaconess Medical Cent,Total by Primary Sponsor,,5,,0,0,585,563,"1,148"
005335 Burroughs Wellcome Fund,Grants,On Campus,7,"15,225","43,094","14,417","97,932",0,"170,668"
005335 Burroughs Wellcome Fund,Total by Primary Sponsor,,7,"15,225","43,094","14,417","97,932",0,"170,668"
005343 Boeing Phantom Works,Contracts,On Campus,24,"32,075","58,727","4,992","33,364","31,298","160,455"
005343 Boeing Phantom Works,Total by Primary Sponsor,,24,"32,075","58,727","4,992","33,364","31,298","160,455"
005365 Novartis Pharmaceuticals Corp.,Contracts,On Campus,6,,"46,394","16,514","24,728","47,886","135,521"
005365 Novartis Pharmaceuticals Corp.,Total by Primary Sponsor,,6,,"46,394","16,514","24,728","47,886","135,521"
005420 Carnegie Corporation,Grants,On Campus,5,,"11,329","4,135","1,044","2,476","18,984"
005420 Carnegie Corporation,Total by Primary Sponsor,,5,,"11,329","4,135","1,044","2,476","18,984"
005435 Chicago Community Trust,Grants,On Campus,5,,"2,815","1,027","2,128","3,343","9,314"
005435 Chicago Community Trust,Total by Primary Sponsor,,5,,"2,815","1,027","2,128","3,343","9,314"
005448 Charles A. Dana Foundation,Grants,On Campus,7,"14,610",0,0,"19,122",0,"33,732"
005448 Charles A. Dana Foundation,Total by Primary Sponsor,,7,"14,610",0,0,"19,122",0,"33,732"
005460 Children's Hospital Boston,Grants,On Campus,19,0,"5,703","1,624","18,457","3,861","29,644"
005460 Children's Hospital Boston,Total by Primary Sponsor,,19,0,"5,703","1,624","18,457","3,861","29,644"
005487 Qwest Communications,Contracts,On Campus,7,0,0,0,0,0,0
005487 Qwest Communications,Total by Primary Sponsor,,7,0,0,0,0,0,0
"005531 Commission for Environmental
Cooperation",Contracts,On Campus,9,,"-1,238",-440,"12,045","5,543","15,910"
"005531 Commission for Environmental
Cooperation",Total by Primary Sponsor,,9,,"-1,238",-440,"12,045","5,543","15,910"
"005610 Damon Runyon Cancer Research
Foundation",Grants,On Campus,18,"36,535","41,033","13,714","28,373",0,"119,655"
"005610 Damon Runyon Cancer Research
Foundation",Total by Primary Sponsor,,18,"36,535","41,033","13,714","28,373",0,"119,655"
"005661 Intuitive Surgical, Inc.",Contracts,On Campus,4,"27,972",,,"51,531","32,962","112,465"
"005661 Intuitive Surgical, Inc.",Total by Primary Sponsor,,4,"27,972",,,"51,531","32,962","112,465"
005678 Draper Laboratory Incorporated,Contracts,On Campus,124,"175,835","286,656","93,245","211,936","334,736","1,102,407"
005678 Draper Laboratory Incorporated,Total by Primary Sponsor,,124,"175,835","286,656","93,245","211,936","334,736","1,102,407"
005686 Japan Aerospace Exploration Agenc,Grants,On Campus,7,,"19,468","7,106",159,"13,948","40,681"
005686 Japan Aerospace Exploration Agenc,Total by Primary Sponsor,,7,,"19,468","7,106",159,"13,948","40,681"
005690 Duke University,Contracts,On Campus,5,,"16,740","6,110",0,"15,538","38,387"
005690 Duke University,Total by Primary Sponsor,,5,,"16,740","6,110",0,"15,538","38,387"
"005691 Dystonia Medical Research
Foundation",Grants,On Campus,6,"16,500","8,761","3,198","11,803",0,"40,261"
"005691 Dystonia Medical Research
Foundation",Total by Primary Sponsor,,6,"16,500","8,761","3,198","11,803",0,"40,261"
"005726 Electronics & Telecommunications
Research Institute (ETRI)",Contracts,On Campus,7,,"15,156","4,316",131,"10,267","29,870"
"005726 Electronics & Telecommunications
Research Institute (ETRI)",Total by Primary Sponsor,,7,,"15,156","4,316",131,"10,267","29,870"
005729 Ellison Medical Foundation,Grants,On Campus,81,"5,328","299,492","106,564","319,727","350,304","1,081,415"
005729 Ellison Medical Foundation,Total by Primary Sponsor,,81,"5,328","299,492","106,564","319,727","350,304","1,081,415"
005732 The Energy Foundation,Contracts,On Campus,9,,"30,171","10,801","16,969",0,"57,940"
005732 The Energy Foundation,Total by Primary Sponsor,,9,,"30,171","10,801","16,969",0,"57,940"
005737 EPOCH-IT,Grants,On Campus,137,0,"11,655",462,"5,190","9,095","26,402"
005737 EPOCH-IT,Total by Primary Sponsor,,137,0,"11,655",462,"5,190","9,095","26,402"
"005752 BMW of North America, LLC",Contracts,On Campus,51,"44,027","276,465","70,007","430,481","309,257","1,130,236"
"005752 BMW of North America, LLC",Total by Primary Sponsor,,51,"44,027","276,465","70,007","430,481","309,257","1,130,236"
"005770 Novartis Institutes for BioMedical
Research Incorporated",Grants,On Campus,3,,,,"3,327","1,863","5,190"
"005770 Novartis Institutes for BioMedical
Research Incorporated",Total by Primary Sponsor,,3,,,,"3,327","1,863","5,190"
"005789 Cyprus Research & Educational
Foundation",Contracts,On Campus,90,"32,113","63,050","20,992","66,657","85,103","267,914"
"005789 Cyprus Research & Educational
Foundation",Total by Primary Sponsor,,90,"32,113","63,050","20,992","66,657","85,103","267,914"
005799 Tenaris Connections AG,Contracts,On Campus,7,"2,771","11,033","2,617",781,"9,633","26,835"
005799 Tenaris Connections AG,Total by Primary Sponsor,,7,"2,771","11,033","2,617",781,"9,633","26,835"
005821 Anonymous Foundation A,Grants,On Campus,16,,"29,096","10,620","614,857",0,"654,574"
005821 Anonymous Foundation A,Total by Primary Sponsor,,16,,"29,096","10,620","614,857",0,"654,574"
005827 Fujitsu Laboratories,Contracts,On Campus,13,"9,576","54,053","17,065","16,637","49,199","146,530"
005827 Fujitsu Laboratories,Total by Primary Sponsor,,13,"9,576","54,053","17,065","16,637","49,199","146,530"
005852 Ford Foundation - All Other,Grants,On Campus,21,"29,312","186,305","68,001","32,021","31,987","347,627"
005852 Ford Foundation - All Other,Total by Primary Sponsor,,21,"29,312","186,305","68,001","32,021","31,987","347,627"
"005855 The Michael J. Fox Foundation for
Parkinson's Disease",Grants,On Campus,6,,"12,179","4,191","19,325","8,924","44,618"
"005855 The Michael J. Fox Foundation for
Parkinson's Disease",Total by Primary Sponsor,,6,,"12,179","4,191","19,325","8,924","44,618"
"005897 AREVA-Framatone ANP, Inc.",Contracts,On Campus,9,"8,044","-1,713","-1,239","15,865","11,701","32,658"
"005897 AREVA-Framatone ANP, Inc.",Total by Primary Sponsor,,9,"8,044","-1,713","-1,239","15,865","11,701","32,658"
005907 Gatsby Charitable Foundation,Contracts,On Campus,9,0,0,0,-455,0,-455
005907 Gatsby Charitable Foundation,Total by Primary Sponsor,,9,0,0,0,-455,0,-455
"005921 AARP Services, Incorporated",Contracts,On Campus,7,,"10,122","3,695",530,"7,652","21,999"
"005921 AARP Services, Incorporated",Total by Primary Sponsor,,7,,"10,122","3,695",530,"7,652","21,999"
005947 Schlumberger Technology Corporati,Contracts,On Campus,83,"123,800","203,208","66,774","222,372","272,202","888,356"
005947 Schlumberger Technology Corporati,Total by Primary Sponsor,,83,"123,800","203,208","66,774","222,372","272,202","888,356"
"005951 Battelle Energy Alliance, LLC",Contracts,On Campus,6,,"14,820","5,261","12,634","18,321","51,037"
"005951 Battelle Energy Alliance, LLC",Total by Primary Sponsor,,6,,"14,820","5,261","12,634","18,321","51,037"
"005966 International Copper Association, Ltd",Contracts,On Campus,5,,"28,170","10,282","1,987","4,493","44,931"
"005966 International Copper Association, Ltd",Total by Primary Sponsor,,5,,"28,170","10,282","1,987","4,493","44,931"
"005979 Google, Inc",Contracts,On Campus,7,,287,105,"3,743","2,059","6,193"
"005979 Google, Inc",Total by Primary Sponsor,,7,,287,105,"3,743","2,059","6,193"
005996 ACLAM Foundation,Grants,On Campus,3,,,,"6,489",0,"6,489"
005996 ACLAM Foundation,Total by Primary Sponsor,,3,,,,"6,489",0,"6,489"
006012 Bill & Melinda Gates Foundation,Contracts,On Campus,34,,"477,695","173,545","822,968","320,750","1,794,958"
006012 Bill & Melinda Gates Foundation,Grants,On Campus,142,"52,324","598,738","196,690","2,680,930","183,573","3,712,256"
006012 Bill & Melinda Gates Foundation,Total by Primary Sponsor,,176,"52,324","1,076,433","370,235","3,503,898","504,323","5,507,214"
006015 Gordon & Betty Moore Foundation,Contracts,Off Campus,8,,"110,544","35,342","-18,445","14,793","142,233"
006015 Gordon & Betty Moore Foundation,Contracts,On Campus,10,"34,739","163,855","57,213","154,718","38,740","449,266"
006015 Gordon & Betty Moore Foundation,Grants,On Campus,99,"93,766","473,306","162,453","637,919","126,762","1,494,206"
006015 Gordon & Betty Moore Foundation,Total by Primary Sponsor,,117,"128,505","747,706","255,008","774,191","180,295","2,085,705"
"006019 Quanta Computer, Inc.",Grants,On Campus,397,"505,244","1,039,566","319,499","1,256,738","1,365,762","4,486,809"
"006019 Quanta Computer, Inc.",Total by Primary Sponsor,,397,"505,244","1,039,566","319,499","1,256,738","1,365,762","4,486,809"
006039 Novartis Pharma AG,Contracts,On Campus,404,"677,466","1,992,934","678,388","2,777,419","2,707,550","8,833,757"
006039 Novartis Pharma AG,Total by Primary Sponsor,,404,"677,466","1,992,934","678,388","2,777,419","2,707,550","8,833,757"
"006052 Worldwide Business Research USA, LLC",Contracts,On Campus,5,,0,0,0,0,0
"006052 Worldwide Business Research USA, LLC",Total by Primary Sponsor,,5,,0,0,0,0,0
006059 Kaiser Permanente,Contracts,On Campus,5,,"14,039","3,931","18,062","20,178","56,210"
006059 Kaiser Permanente,Total by Primary Sponsor,,5,,"14,039","3,931","18,062","20,178","56,210"
006120 Harvard University,Grants,On Campus,1,,,,,,0
006120 Harvard University,Total by Primary Sponsor,,1,,,,,,0
"006140 The William And Flora Hewlett
Foundation",Grants,On Campus,16,,"14,500","4,060","617,412","63,597","699,569"
"006140 The William And Flora Hewlett
Foundation",Total by Primary Sponsor,,16,,"14,500","4,060","617,412","63,597","699,569"
006144 Medicines for Malaria Venture,Contracts,On Campus,6,,0,0,-442,-44,-486
006144 Medicines for Malaria Venture,Total by Primary Sponsor,,6,,0,0,-442,-44,-486
006146 The Paul G Allen Family Foundation,Grants,On Campus,20,"13,245","133,491","47,649","169,300","24,755","388,440"
006146 The Paul G Allen Family Foundation,Total by Primary Sponsor,,20,"13,245","133,491","47,649","169,300","24,755","388,440"
006160 Howard Hughes Medical Institute,Grants,On Campus,4,"84,256",,,"91,081","35,067","210,404"
006160 Howard Hughes Medical Institute,Total by Primary Sponsor,,4,"84,256",,,"91,081","35,067","210,404"
006180 Human Frontier Science Program,Grants,Off Campus,4,"20,468",,,"10,803",921,"32,191"
006180 Human Frontier Science Program,Grants,On Campus,36,"11,152","66,713","23,477","39,471","13,815","154,628"
006180 Human Frontier Science Program,Total by Primary Sponsor,,40,"31,620","66,713","23,477","50,273","14,736","186,819"
006300 The Robert Wood Johnson Foundati,Grants,On Campus,23,"14,045","60,181","21,236","19,980","13,853","129,295"
006300 The Robert Wood Johnson Foundati,Total by Primary Sponsor,,23,"14,045","60,181","21,236","19,980","13,853","129,295"
006304 W. Alton Jones Foundation,Grants,On Campus,6,,0,0,0,0,0
006304 W. Alton Jones Foundation,Total by Primary Sponsor,,6,,0,0,0,0,0
006309 France Telecom S.A.,Contracts,On Campus,17,0,"1,732",615,15,"1,228","3,590"
006309 France Telecom S.A.,Total by Primary Sponsor,,17,0,"1,732",615,15,"1,228","3,590"
"006310 Juvenile Diabetes Research
Foundation International",Grants,On Campus,28,"8,748","30,163","9,838","147,938","9,148","205,834"
"006310 Juvenile Diabetes Research
Foundation International",Total by Primary Sponsor,,28,"8,748","30,163","9,838","147,938","9,148","205,834"
006315 French American Cultural Exchange,Grants,On Campus,5,,-88,-31,-674,0,-793
006315 French American Cultural Exchange,Total by Primary Sponsor,,5,,-88,-31,-674,0,-793
006344 Interamerican Development Bank,Contracts,Off Campus,6,,"13,838","3,834","5,378","8,583","31,632"
006344 Interamerican Development Bank,Total by Primary Sponsor,,6,,"13,838","3,834","5,378","8,583","31,632"
006349 Lockheed Martin Corporation,Contracts,On Campus,113,"89,751","146,497","48,329","775,759","187,880","1,248,217"
006349 Lockheed Martin Corporation,Total by Primary Sponsor,,113,"89,751","146,497","48,329","775,759","187,880","1,248,217"
006357 Kauffman Foundation,Grants,On Campus,18,"24,255","81,833","24,103","45,775",0,"175,966"
006357 Kauffman Foundation,Total by Primary Sponsor,,18,"24,255","81,833","24,103","45,775",0,"175,966"
006359 W.K. Kellogg Foundation,Grants,On Campus,6,,"47,058","13,147","22,732","12,440","95,377"
006359 W.K. Kellogg Foundation,Total by Primary Sponsor,,6,,"47,058","13,147","22,732","12,440","95,377"
006360 Keck Foundation,Grants,On Campus,7,,"28,484","7,282","103,499",0,"139,265"
006360 Keck Foundation,Total by Primary Sponsor,,7,,"28,484","7,282","103,499",0,"139,265"
006371 Ceramic Tubular Products LLC,Contracts,On Campus,8,"1,790","5,030","1,351",401,"4,800","13,372"
006371 Ceramic Tubular Products LLC,Total by Primary Sponsor,,8,"1,790","5,030","1,351",401,"4,800","13,372"
006428 Knight Foundation,Grants,On Campus,15,"82,691","232,282","84,783","184,275",0,"584,031"
006428 Knight Foundation,Total by Primary Sponsor,,15,"82,691","232,282","84,783","184,275",0,"584,031"
006434 Korea Institute of Science & Technology (KIST),Contracts,On Campus,3,,,,"15,813","8,855","24,668"
006434 Korea Institute of Science & Technology (KIST),Total by Primary Sponsor,,3,,,,"15,813","8,855","24,668"
"006438 Kuwait Foundation for the
Advancement of Sciences",Grants,On Campus,100,"291,155","304,632","88,302","391,172","439,460","1,514,721"
"006438 Kuwait Foundation for the
Advancement of Sciences",Total by Primary Sponsor,,100,"291,155","304,632","88,302","391,172","439,460","1,514,721"
006484 General Electric Company,Contracts,On Campus,17,"58,461","15,288","4,643","65,185","52,650","196,226"
006484 General Electric Company,Total by Primary Sponsor,,17,"58,461","15,288","4,643","65,185","52,650","196,226"
006507 Nike Foundation,Grants,On Campus,3,,,,"133,705","20,056","153,760"
006507 Nike Foundation,Total by Primary Sponsor,,3,,,,"133,705","20,056","153,760"
006511 Sanofi Pasteur S.A.,Contracts,On Campus,8,,"5,746","1,609","20,845","4,508","32,709"
006511 Sanofi Pasteur S.A.,Total by Primary Sponsor,,8,,"5,746","1,609","20,845","4,508","32,709"
"006523 Umicore Rechargeable Battery
Materials",Contracts,On Campus,8,"13,209","-5,161","-1,884","45,555","21,830","73,549"
"006523 Umicore Rechargeable Battery
Materials",Total by Primary Sponsor,,8,"13,209","-5,161","-1,884","45,555","21,830","73,549"
006525 Lincoln Institute of Land Policy,Contracts,On Campus,5,,0,0,"1,348",0,"1,348"
006525 Lincoln Institute of Land Policy,Total by Primary Sponsor,,5,,0,0,"1,348",0,"1,348"
006527 Major League Baseball,Contracts,On Campus,6,"3,633",283,103,65,"2,035","6,120"
006527 Major League Baseball,Total by Primary Sponsor,,6,"3,633",283,103,65,"2,035","6,120"
006550 Macarthur Foundation,Grants,Off Campus,10,,"3,225","1,097","65,942",901,"71,164"
006550 Macarthur Foundation,Grants,On Campus,40,,"179,261","65,211","724,161","73,438","1,042,071"
006550 Macarthur Foundation,Total by Primary Sponsor,,50,,"182,486","66,308","790,104","74,338","1,113,236"
006567 Markle Foundation,Grants,On Campus,7,950,"61,848","22,575","4,710","49,746","139,829"
006567 Markle Foundation,Total by Primary Sponsor,,7,950,"61,848","22,575","4,710","49,746","139,829"
006570 Massachusetts General Hospital,Contracts,Off Campus,5,"13,187",,,"10,803",593,"24,583"
006570 Massachusetts General Hospital,Grants,Off Campus,3,"2,532",,,,114,"2,646"
006570 Massachusetts General Hospital,Grants,On Campus,40,"31,849","132,758","47,239","103,170","159,790","474,806"
006570 Massachusetts General Hospital,Total by Primary Sponsor,,48,"47,568","132,758","47,239","113,973","160,497","502,035"
006574 Concawe,Contracts,On Campus,12,0,"34,187","6,869","6,922","26,868","74,845"
006574 Concawe,Total by Primary Sponsor,,12,0,"34,187","6,869","6,922","26,868","74,845"
"006578 Massachusetts Technology
Collaborative",Contracts,On Campus,6,,"7,425","1,561",51,"5,061","14,098"
"006578 Massachusetts Technology
Collaborative",Total by Primary Sponsor,,6,,"7,425","1,561",51,"5,061","14,098"
006593 McKnight Foundation,Grants,On Campus,5,,0,0,"-1,225",0,"-1,225"
006593 McKnight Foundation,Total by Primary Sponsor,,5,,0,0,"-1,225",0,"-1,225"
006594 James S. McDonnell Foundation,Grants,Off Campus,6,,0,0,"44,941",0,"44,941"
006594 James S. McDonnell Foundation,Grants,On Campus,11,,"85,479","25,756","54,260",0,"165,495"
006594 James S. McDonnell Foundation,Total by Primary Sponsor,,17,,"85,479","25,756","99,201",0,"210,436"
006613 The Melanoma Research Foundatio,Contracts,On Campus,6,,"23,046","8,412",358,0,"31,816"
006613 The Melanoma Research Foundatio,Total by Primary Sponsor,,6,,"23,046","8,412",358,0,"31,816"
006637 Allen Institute for Brain Science,Contracts,On Campus,4,"13,374",,,"34,820","5,403","53,596"
006637 Allen Institute for Brain Science,Total by Primary Sponsor,,4,"13,374",,,"34,820","5,403","53,596"
006652 Mizutani Foundation for Glycoscienc,Grants,On Campus,3,,,,"13,482","1,348","14,831"
006652 Mizutani Foundation for Glycoscienc,Total by Primary Sponsor,,3,,,,"13,482","1,348","14,831"
006716 Eni S.p.A.,Contracts,On Campus,994,"818,895","1,365,736","464,170","1,770,148","1,817,021","6,235,970"
006716 Eni S.p.A.,Total by Primary Sponsor,,994,"818,895","1,365,736","464,170","1,770,148","1,817,021","6,235,970"
006721 Nanyang Technological University,Contracts,On Campus,3,,,,46,26,72
006721 Nanyang Technological University,Total by Primary Sponsor,,3,,,,46,26,72
006732 Nancy Lurie Marks Family Foundatio,Grants,On Campus,12,,"50,410","17,951","88,740","31,420","188,520"
006732 Nancy Lurie Marks Family Foundatio,Total by Primary Sponsor,,12,,"50,410","17,951","88,740","31,420","188,520"
"006742 National Bureau of Economic
Research, Inc.",Contracts,On Campus,3,,,,"34,070","10,943","45,013"
"006742 National Bureau of Economic
Research, Inc.",Total by Primary Sponsor,,3,,,,"34,070","10,943","45,013"
006752 National Collegiate Inventors & Innovators Alliance,Contracts,On Campus,3,,,,"2,688",0,"2,688"
006752 National Collegiate Inventors & Innovators Alliance,Total by Primary Sponsor,,3,,,,"2,688",0,"2,688"
006772 United Therapeutics Corporation,Contracts,On Campus,12,"19,250","204,222","66,583","141,996","230,582","662,633"
006772 United Therapeutics Corporation,Total by Primary Sponsor,,12,"19,250","204,222","66,583","141,996","230,582","662,633"
006794 National Multiple Sclerosis Society,Grants,On Campus,7,,"51,045","18,631","29,321","9,884","108,881"
006794 National Multiple Sclerosis Society,Total by Primary Sponsor,,7,,"51,045","18,631","29,321","9,884","108,881"
006805 NEROC,Grants,Off Campus,11,,"280,429","91,653","101,325","9,510","482,917"
006805 NEROC,Grants,On Campus,2,,,,"6,594",,"6,594"
006805 NEROC,Total by Primary Sponsor,,13,,"280,429","91,653","107,919","9,510","489,511"
"006849 Norwegian University of Science and
Technology",Contracts,On Campus,24,"55,265","21,731","6,506","55,805","48,865","188,172"
"006849 Norwegian University of Science and
Technology",Grants,On Campus,8,0,-6,-2,-98,-55,-161
"006849 Norwegian University of Science and
Technology",Total by Primary Sponsor,,32,"55,265","21,726","6,504","55,706","48,809","188,011"
006875 Northeastern University,Contracts,On Campus,6,,"8,624","3,148","32,357","24,676","68,804"
006875 Northeastern University,Grants,On Campus,11,"22,610","16,547","1,673","33,394","30,485","104,709"
006875 Northeastern University,Total by Primary Sponsor,,17,"22,610","25,170","4,821","65,751","55,161","173,513"
"006918 Samsung Electronics Co., Ltd.",Contracts,On Campus,125,"68,594","181,317","55,264","182,020","237,246","724,441"
"006918 Samsung Electronics Co., Ltd.",Total by Primary Sponsor,,125,"68,594","181,317","55,264","182,020","237,246","724,441"
006932 ConocoPhillips Company,Contracts,On Campus,7,"18,648",0,0,"12,118","13,211","43,977"
006932 ConocoPhillips Company,Total by Primary Sponsor,,7,"18,648",0,0,"12,118","13,211","43,977"
"006946 Embraer-Empresa Brasileira de
Aeronautica S.A.",Contracts,On Campus,4,"13,490",,,"10,803","7,554","31,846"
"006946 Embraer-Empresa Brasileira de
Aeronautica S.A.",Total by Primary Sponsor,,4,"13,490",,,"10,803","7,554","31,846"
006964 POSCO,Contracts,On Campus,6,,0,0,-456,0,-456
006964 POSCO,Total by Primary Sponsor,,6,,0,0,-456,0,-456
"007001 Portuguese Science and Technology
Foundation",Contracts,On Campus,863,"252,332","134,852","40,964","243,269","262,092","933,509"
"007001 Portuguese Science and Technology
Foundation",Total by Primary Sponsor,,863,"252,332","134,852","40,964","243,269","262,092","933,509"
"007007 Shire Human Genetic Therapies, Inc",Contracts,On Campus,10,0,0,0,0,0,0
"007007 Shire Human Genetic Therapies, Inc",Total by Primary Sponsor,,10,0,0,0,0,0,0
007016 BP Technology Ventures Inc.,Contracts,On Campus,169,"278,244","839,201","299,976","429,861","830,407","2,677,689"
007016 BP Technology Ventures Inc.,Total by Primary Sponsor,,169,"278,244","839,201","299,976","429,861","830,407","2,677,689"
007038 Genus Biotech Corporation,Contracts,On Campus,7,0,0,0,"-99,175",0,"-99,175"
007038 Genus Biotech Corporation,Total by Primary Sponsor,,7,0,0,0,"-99,175",0,"-99,175"
007049 Columbus Zoo and Aquarium,Contracts,On Campus,6,,"14,960","5,461",-492,"11,160","31,089"
007049 Columbus Zoo and Aquarium,Total by Primary Sponsor,,6,,"14,960","5,461",-492,"11,160","31,089"
007055 The Hartford Fire Insurance Compan,Contracts,On Campus,18,0,"210,850","75,952","65,663","186,559","539,024"
007055 The Hartford Fire Insurance Compan,Total by Primary Sponsor,,18,0,"210,850","75,952","65,663","186,559","539,024"
007081 Alnylam Pharmaceuticals,Contracts,On Campus,12,0,"11,045","4,032","59,393","47,790","122,260"
007081 Alnylam Pharmaceuticals,Total by Primary Sponsor,,12,0,"11,045","4,032","59,393","47,790","122,260"
007089 James Phillips,Grants,On Campus,6,0,0,0,115,64,179
007089 James Phillips,Total by Primary Sponsor,,6,0,0,0,115,64,179
"007097 Toyota Motor Engineering & Manufacturing North America, Inc.",Contracts,On Campus,36,"39,575","147,211","50,492","157,081","165,469","559,827"
"007097 Toyota Motor Engineering & Manufacturing North America, Inc.",Total by Primary Sponsor,,36,"39,575","147,211","50,492","157,081","165,469","559,827"
007110 Portland Cement Association,Contracts,On Campus,38,"107,600","314,710","108,793","190,148","346,040","1,067,290"
007110 Portland Cement Association,Total by Primary Sponsor,,38,"107,600","314,710","108,793","190,148","346,040","1,067,290"
007115 Naval Postgraduate School,Grants,On Campus,35,"98,675","105,912","36,646","138,021","207,735","586,989"
007115 Naval Postgraduate School,Total by Primary Sponsor,,35,"98,675","105,912","36,646","138,021","207,735","586,989"
007134 University of Mainz,Contracts,On Campus,6,,"11,224","3,864",,"8,449","23,537"
007134 University of Mainz,Total by Primary Sponsor,,6,,"11,224","3,864",,"8,449","23,537"
007139 Aarhus University,Contracts,On Campus,16,"9,324","20,161","5,840","3,977","19,294","58,595"
007139 Aarhus University,Total by Primary Sponsor,,16,"9,324","20,161","5,840","3,977","19,294","58,595"
007146 Fondazione Bruno Kessler,Contracts,Off Campus,12,0,"1,428",507,-100,"1,084","2,919"
007146 Fondazione Bruno Kessler,Total by Primary Sponsor,,12,0,"1,428",507,-100,"1,084","2,919"
007199 KAUST Global Research Partnership,Contracts,On Campus,32,"181,015","161,664","53,566","548,757","330,046","1,275,048"
007199 KAUST Global Research Partnership,Total by Primary Sponsor,,32,"181,015","161,664","53,566","548,757","330,046","1,275,048"
"007207 Douglas B. Marshall Jr. Family
Foundation",Grants,On Campus,7,,"4,422","1,614","5,238","1,127","12,401"
"007207 Douglas B. Marshall Jr. Family
Foundation",Total by Primary Sponsor,,7,,"4,422","1,614","5,238","1,127","12,401"
007237 The Research Promotion Foundation,Contracts,On Campus,13,0,0,0,0,0,0
007237 The Research Promotion Foundation,Total by Primary Sponsor,,13,0,0,0,0,0,0
"007268 Strem Chemicals, Incorporated",Contracts,On Campus,3,,,,"19,326",750,"20,076"
"007268 Strem Chemicals, Incorporated",Total by Primary Sponsor,,3,,,,"19,326",750,"20,076"
007275 Rockefeller Foundation,Grants,On Campus,12,"37,086","5,167","1,447","52,547","14,466","110,713"
007275 Rockefeller Foundation,Total by Primary Sponsor,,12,"37,086","5,167","1,447","52,547","14,466","110,713"
"007288 King Fahd University of Petroleum a
Minerals",Contracts,On Campus,422,"1,029,928","853,119","275,753","1,465,587","1,507,026","5,131,413"
"007288 King Fahd University of Petroleum a
Minerals",Total by Primary Sponsor,,422,"1,029,928","853,119","275,753","1,465,587","1,507,026","5,131,413"
007300 Russell Sage Foundation,Grants,On Campus,10,"10,656",0,0,"9,602","3,039","23,297"
007300 Russell Sage Foundation,Total by Primary Sponsor,,10,"10,656",0,0,"9,602","3,039","23,297"
007316 Searle Scholars Program,Grants,On Campus,5,,0,0,"12,087","6,769","18,855"
007316 Searle Scholars Program,Total by Primary Sponsor,,5,,0,0,"12,087","6,769","18,855"
007343 The Simons Foundation,Grants,On Campus,319,"40,857","933,820","314,621","2,099,277","631,887","4,020,462"
007343 The Simons Foundation,Total by Primary Sponsor,,319,"40,857","933,820","314,621","2,099,277","631,887","4,020,462"
007350 Alfred P. Sloan Foundation,Grants,On Campus,69,"3,255","215,410","63,475","54,722","40,883","377,745"
007350 Alfred P. Sloan Foundation,Total by Primary Sponsor,,69,"3,255","215,410","63,475","54,722","40,883","377,745"
"007353 Memorial Sloan-Kettering Cancer
Center",Grants,On Campus,4,"5,893",,,"13,242","7,601","26,735"
"007353 Memorial Sloan-Kettering Cancer
Center",Total by Primary Sponsor,,4,"5,893",,,"13,242","7,601","26,735"
007356 Smith Richardson Foundation,Grants,On Campus,8,"5,500",0,0,0,550,"6,050"
007356 Smith Richardson Foundation,Total by Primary Sponsor,,8,"5,500",0,0,0,550,"6,050"
007392 Starr Foundation,Contracts,On Campus,5,,"4,408","1,609","14,593","4,122","24,733"
007392 Starr Foundation,Total by Primary Sponsor,,5,,"4,408","1,609","14,593","4,122","24,733"
007408 Summit Foundation,Grants,On Campus,17,,"20,223","4,923","17,193","4,404","46,744"
007408 Summit Foundation,Total by Primary Sponsor,,17,,"20,223","4,923","17,193","4,404","46,744"
007426 John Templeton Foundation,Grants,On Campus,22,"5,328","243,266","84,533","4,273","86,191","423,592"
007426 John Templeton Foundation,Total by Primary Sponsor,,22,"5,328","243,266","84,533","4,273","86,191","423,592"
"007458 Technion R&D Foundation, Ltd.",Contracts,On Campus,7,,"8,574","3,130",,"6,195","17,898"
"007458 Technion R&D Foundation, Ltd.",Total by Primary Sponsor,,7,,"8,574","3,130",,"6,195","17,898"
"007462 Hon Hai Precision Industry Co., Ltd.",Contracts,On Campus,183,"133,122","158,678","51,632","236,089","248,451","827,971"
"007462 Hon Hai Precision Industry Co., Ltd.",Grants,On Campus,24,"35,022","78,701","23,988","40,453","73,623","251,788"
